Ticker,Company,Sector,Weight,Initial_Investment,Starting_Price,Latest_Price,Total_Return_Percent,Annualized_Return_Percent,Annualized_Volatility_Percent,Sharpe_Ratio,Maximum_Drawdown_Percent,Current_Value,Profit_Loss,Risk_Level,Performance_Rank
NVDA,NVIDIA,Technology,0.1,10000.0,14.283263206481934,202.80999755859375,1319.913605362645,138.81288755371918,48.61044640429617,2.773331609269164,-36.88103112561926,141991.3605362645,131991.3605362645,High,1
AMZN,Amazon,Consumer Discretionary,0.1,10000.0,85.81999969482422,247.22999572753906,188.07969774724836,42.07317752568351,31.780409164805512,1.1980077829786655,-30.876638431876025,28807.969774724836,18807.969774724836,High,2
JPM,JPMorgan Chase,Financial Services,0.15,15000.0,123.73519134521484,341.1000061035156,175.66935678942306,37.07071486287457,23.237249909965417,1.4231767954904173,-24.423926616996162,41350.403518413455,26350.403518413455,Medium,3
AAPL,Apple,Technology,0.15,15000.0,122.98271179199219,333.739990234375,171.37146788472907,37.266795077603135,25.730725393875336,1.2928821309298029,-33.36052192612389,40705.72018270936,25705.72018270936,High,4
GLD,SPDR Gold Shares,Commodity,0.1,10000.0,171.05999755859375,368.4100036621094,115.36888163225694,26.86713595230321,19.83470975312935,1.1528848285110618,-26.40451785702963,21536.888163225693,11536.888163225693,Medium,5
SPY,SPDR S&P 500 ETF,ETF,0.15,15000.0,364.1339416503906,743.2899780273438,104.12543105937249,23.901193895166006,15.124975178002659,1.3157835739201573,-18.755221196416638,30618.814658905874,15618.814658905874,Medium,6
MSFT,Microsoft,Technology,0.15,15000.0,232.94825744628906,393.82000732421875,69.05900548108713,19.802780735910396,25.06370702034928,0.6305045268475283,-34.49839904946902,25358.85082216307,10358.85082216307,High,7
BND,Vanguard Total Bond Market ETF,Bond ETF,0.1,10000.0,63.64902877807617,72.86000061035156,14.471504136207813,4.0819383137657095,5.601964345691898,0.014626711044443325,-7.177036392486514,11447.15041362078,1447.1504136207805,Low,8
