Date,AAPL,AMZN,BND,GLD,JPM,MSFT,NVDA,SPY
2023-01-03,122.98271179199219,85.81999969482422,63.64902877807617,171.05999755859375,123.73519134521484,232.94825744628906,14.283263206481934,364.1339416503906
2023-01-04,124.25118255615234,85.13999938964844,64.01033020019531,172.6699981689453,124.88903045654297,222.7583770751953,14.716300964355469,366.94512939453125
2023-01-05,122.93355560302734,83.12000274658203,63.93983459472656,170.52000427246094,124.8613510131836,216.15631103515625,14.233373641967773,362.7570495605469
2023-01-06,127.45677185058594,86.08000183105469,64.64486694335938,173.7100067138672,127.25067138671875,218.7037811279297,14.826057434082031,371.07586669921875
2023-01-09,127.97794342041016,87.36000061035156,64.8211898803711,174.10000610351562,126.72481536865234,220.83319091796875,15.593351364135742,370.8654479980469
2023-01-10,128.54824829101562,89.87000274658203,64.56558990478516,174.74000549316406,127.85948944091797,222.5152587890625,15.873727798461914,373.46624755859375
2023-01-11,131.26217651367188,95.08999633789062,64.9093017578125,174.6199951171875,128.80967712402344,229.2437286376953,15.965523719787598,378.1897888183594
2023-01-12,131.1835174560547,95.2699966430664,65.41163635253906,176.63999938964844,128.68055725097656,231.90786743164062,16.474393844604492,379.5667419433594
2023-01-13,132.51097106933594,98.12000274658203,65.1913070678711,178.75999450683594,131.92776489257812,232.60794067382812,16.86153221130371,381.03924560546875
2023-01-17,133.67132568359375,96.05000305175781,65.10321807861328,177.58999633789062,129.88902282714844,233.69692993164062,17.66275405883789,380.3412780761719
2023-01-18,132.95350646972656,95.45999908447266,65.70249938964844,177.0800018310547,125.9867935180664,229.2825927734375,17.338476181030273,374.3363952636719
2023-01-19,133.0124969482422,93.68000030517578,65.57027435302734,179.88999938964844,124.30784606933594,225.510009765625,16.72783088684082,371.6112976074219
2023-01-20,135.56910705566406,97.25,65.27945709228516,179.2899932861328,124.61224365234375,233.57054138183594,17.799449920654297,378.53411865234375
2023-01-23,138.75503540039062,97.5199966430664,65.12080383300781,179.6300048828125,126.6325454711914,235.86521911621094,19.15045166015625,383.0759582519531
2023-01-24,140.1513214111328,96.31999969482422,65.41163635253906,180.27999877929688,127.72113800048828,235.3401336669922,19.222288131713867,382.6647644042969
2023-01-25,139.4924774169922,97.18000030517578,65.490966796875,181.11000061035156,128.3391876220703,233.94973754882812,19.280160903930664,382.8082275390625
2023-01-26,141.55747985839844,99.22000122070312,65.36759948730469,179.47000122070312,129.13255310058594,241.1352081298828,19.75809669494629,387.0154724121094
2023-01-27,143.49459838867188,102.23999786376953,65.29708099365234,179.22000122070312,129.4462127685547,241.29074096679688,20.319849014282227,387.9046630859375
2023-01-30,140.6134490966797,100.55000305175781,65.11201477050781,178.75999450683594,128.3484344482422,235.9916534423828,19.11952018737793,383.0377502441406
2023-01-31,141.88192749023438,103.12999725341797,65.41163635253906,179.41000366210938,129.11412048339844,240.95046997070312,19.49368667602539,388.66961669921875
2023-02-01,143.00291442871094,105.1500015258789,65.8321533203125,181.6699981689453,128.77279663085938,245.75369262695312,20.896570205688477,392.80035400390625
2023-02-02,148.302978515625,112.91000366210938,65.87633514404297,177.89999389648438,128.17315673828125,257.2756652832031,21.66086769104004,398.5184020996094
2023-02-03,151.9215850830078,103.38999938964844,65.29328155517578,173.4600067138672,130.15652465820312,251.19869995117188,21.053218841552734,394.2823791503906
2023-02-06,149.19778442382812,102.18000030517578,64.88688659667969,173.82000732421875,130.92222595214844,249.6623992919922,21.042245864868164,391.872802734375
2023-02-07,152.0690155029297,102.11000061035156,64.79853820800781,173.97999572753906,132.51815795898438,260.1537780761719,22.12384033203125,396.998046875
2023-02-08,149.38458251953125,100.05000305175781,64.91340637207031,174.41000366210938,131.5863800048828,259.3467712402344,22.155771255493164,392.6568908691406
2023-02-09,148.35214233398438,98.23999786376953,64.64836883544922,173.02999877929688,129.5384521484375,256.32275390625,22.2874755859375,389.2528076171875
2023-02-10,148.71652221679688,97.61000061035156,64.37451934814453,173.36000061035156,130.1103973388672,255.81719970703125,21.21785545349121,390.1612854003906
2023-02-13,151.51339721679688,99.54000091552734,64.55120849609375,172.47999572753906,131.5218505859375,263.8096923828125,21.73969078063965,394.7413635253906
2023-02-14,150.873291015625,99.69999694824219,64.33036804199219,172.61000061035156,132.10302734375,264.63616943359375,22.92007064819336,394.5596923828125
2023-02-15,152.9709014892578,101.16000366210938,64.18901062011719,170.88999938964844,132.65652465820312,262.52093505859375,22.71352767944336,395.841064453125
2023-02-16,151.37550354003906,98.1500015258789,63.94165802001953,170.75,130.8300018310547,255.5319366455078,21.953224182128906,390.3907470703125
2023-02-17,150.233154296875,97.19999694824219,64.0830078125,171.25999450683594,131.21742248535156,251.54515075683594,21.34058380126953,389.41546630859375
2023-02-21,146.2249755859375,94.58000183105469,63.526451110839844,170.6199951171875,128.80967712402344,246.29129028320312,20.609207153320312,381.6033630371094
2023-02-22,146.64842224121094,95.79000091552734,63.667781829833984,169.66000366210938,127.8226089477539,245.1605682373047,20.707988739013672,381.0775146484375
2023-02-23,147.13096618652344,95.81999969482422,63.89748001098633,169.57000732421875,128.84657287597656,248.3382568359375,23.611534118652344,383.1046142578125
2023-02-24,144.48182678222656,93.5,63.544124603271484,168.35000610351562,130.0089111328125,242.92837524414062,23.234375,379.0121765136719
2023-02-27,145.6734619140625,93.76000213623047,63.65012741088867,169.00999450683594,131.1436309814453,243.84466552734375,23.448894500732422,380.3030700683594
2023-02-28,145.17117309570312,94.2300033569336,63.667781829833984,169.77999877929688,132.24139404296875,243.12332153320312,23.164527893066406,378.8974914550781
2023-03-01,143.1031036376953,92.16999816894531,63.290618896484375,170.75999450683594,131.5033721923828,240.05282592773438,22.647674560546875,377.44403076171875
2023-03-02,143.6939697265625,92.12999725341797,63.157772064208984,170.66000366210938,130.1381072998047,244.7706298828125,23.262311935424805,380.3794860839844
2023-03-03,148.73619079589844,94.9000015258789,63.64476776123047,172.49000549316406,132.52735900878906,248.84510803222656,23.837032318115234,386.4799499511719
2023-03-06,151.49371337890625,93.75,63.4942512512207,171.6199951171875,131.75247192382812,250.3852081298828,23.50178337097168,386.7477722167969
2023-03-07,149.297607421875,93.55000305175781,63.42342758178711,168.6199951171875,127.87796020507812,247.73388671875,23.24031639099121,380.8193359375
2023-03-08,150.54827880859375,93.91999816894531,63.37030029296875,168.5399932861328,127.12149810791016,247.29525756835938,24.131484985351562,381.4408874511719
2023-03-09,148.3029022216797,92.25,63.582786560058594,170.1999969482422,120.23957824707031,245.95008850097656,23.38801383972168,374.4033508300781
2023-03-10,146.24462890625,90.7300033569336,64.34424591064453,173.8699951171875,123.29307556152344,242.31427001953125,22.91797637939453,369.00091552734375
2023-03-13,148.18472290039062,92.43000030517578,64.85779571533203,177.86000061035156,121.0790786743164,247.50973510742188,22.91897201538086,368.47503662109375
2023-03-14,150.2725372314453,94.87999725341797,64.45050811767578,176.8300018310547,124.18794250488281,254.20628356933594,24.013729095458984,374.56591796875
2023-03-15,150.6664581298828,96.19999694824219,65.11457824707031,178.2100067138672,118.32076263427734,258.7388916015625,24.17839241027832,372.2232666015625
2023-03-16,153.4829864501953,100.04000091552734,64.80469512939453,178.57000732421875,120.61782836914062,269.2272644042969,25.488706588745117,378.7539978027344
2023-03-17,152.6459503173828,98.94999694824219,65.27397155761719,183.77000427246094,116.06063079833984,272.3757019042969,25.672327041625977,374.3253173828125
2023-03-20,155.00946044921875,97.70999908447266,64.99063110351562,183.83999633789062,117.28756713867188,265.35748291015625,25.846965789794922,377.9246520996094
2023-03-21,156.8609161376953,100.61000061035156,64.81356811523438,180.3699951171875,120.43331909179688,266.86834716796875,26.145355224609375,382.88702392578125
2023-03-22,155.43295288085938,98.69999694824219,65.38907623291016,183.44000244140625,117.32447052001953,265.416015625,26.413803100585938,376.36016845703125
2023-03-23,156.5162353515625,98.70999908447266,65.53960418701172,185.74000549316406,117.01081085205078,270.650390625,27.135326385498047,377.3776550292969
2023-03-24,157.816162109375,98.12999725341797,65.67240905761719,183.64999389648438,115.23037719726562,273.4869384765625,26.724166870117188,379.85400390625
2023-03-27,155.87611389160156,98.04000091552734,64.99063110351562,181.9499969482422,118.53295135498047,269.4027099609375,26.476673126220703,380.5642395019531
2023-03-28,155.2556610107422,97.23999786376953,64.87554168701172,183.44000244140625,118.89273071289062,268.28179931640625,26.35592269897461,379.7099914550781
2023-03-29,158.3283233642578,100.25,64.94633483886719,182.52999877929688,119.132568359375,273.4284362792969,26.92875099182129,385.2290344238281
2023-03-30,159.89413452148438,102.0,65.03488159179688,184.17999267578125,118.77278900146484,276.8790588378906,27.326929092407227,387.4846496582031
2023-03-31,162.39556884765625,103.29000091552734,65.3713607788086,183.22000122070312,120.21192169189453,281.021728515625,27.720123291015625,392.9461364746094
2023-04-03,163.64627075195312,102.41000366210938,65.64920043945312,184.5399932861328,120.07352447509766,279.978759765625,27.907739639282227,394.4434509277344
2023-04-04,163.11448669433594,103.94999694824219,65.91548919677734,187.97999572753906,118.4683837890625,279.9300842285156,27.396785736083984,392.25506591796875
2023-04-05,161.27288818359375,101.0999984741211,66.09300231933594,187.8300018310547,118.64501953125,277.1617126464844,26.825958251953125,391.2280578613281
2023-04-06,162.15921020507812,102.05999755859375,66.07526397705078,186.49000549316406,118.51486206054688,284.2384338378906,26.981639862060547,392.7541809082031
2023-04-10,159.5691680908203,102.16999816894531,65.63143157958984,185.11000061035156,118.90534210205078,282.084228515625,27.52252769470215,393.15728759765625
2023-04-11,158.35781860351562,99.91999816894531,65.6580581665039,186.27999877929688,119.49110412597656,275.6898193359375,27.113370895385742,393.2629089355469
2023-04-12,157.6685028076172,97.83000183105469,65.72904968261719,187.19000244140625,119.47249603271484,276.3331604003906,26.440750122070312,391.659912109375
2023-04-13,163.0455322265625,102.4000015258789,65.69357299804688,189.72000122070312,119.92808532714844,282.52288818359375,26.408809661865234,396.86224365234375
2023-04-14,162.7008514404297,102.51000213623047,65.40067291259766,186.36000061035156,128.98382568359375,278.9163513183594,26.703210830688477,395.892822265625
2023-04-17,162.72059631347656,102.73999786376953,65.04557800292969,185.52999877929688,130.0065460205078,281.50909423828125,26.946712493896484,397.3133544921875
2023-04-18,163.9417266845703,102.30000305175781,65.14323425292969,186.25,131.46621704101562,281.0899658203125,27.610347747802734,397.572509765625
2023-04-19,165.0841522216797,104.30000305175781,65.05443572998047,185.36000061035156,131.29888916015625,281.1679992675781,27.873809814453125,397.5052795410156
2023-04-20,164.11900329589844,103.80999755859375,65.33851623535156,186.08999633789062,130.9176788330078,278.8870544433594,27.04850196838379,395.33612060546875
2023-04-21,162.5137481689453,106.95999908447266,65.22315979003906,184.25,130.6666717529297,278.5458984375,27.0634708404541,395.6432800292969
2023-04-24,162.81903076171875,106.20999908447266,65.48056030273438,184.80999755859375,130.8433074951172,274.65667724609375,26.98662757873535,396.0559387207031
2023-04-25,161.28273010253906,102.56999969482422,65.90660095214844,185.75,127.99828338623047,268.4668884277344,26.187267303466797,389.76904296875
2023-04-26,161.27288818359375,104.9800033569336,65.67583465576172,184.74000549316406,125.72969055175781,287.913330078125,26.90080451965332,388.11810302734375
2023-04-27,165.8522491455078,109.81999969482422,65.39179992675781,184.75,127.42183685302734,297.134521484375,27.170249938964844,395.8447570800781
2023-04-28,167.1029815673828,105.44999694824219,65.7557144165039,184.8000030517578,128.52822875976562,299.503173828125,27.692182540893555,399.2234191894531
2023-05-01,167.0143280029297,102.05000305175781,65.07947540283203,183.97000122070312,131.28028869628906,297.8459777832031,28.85080337524414,398.8202819824219
2023-05-02,165.98028564453125,103.62999725341797,65.7201156616211,187.52000427246094,129.16046142578125,297.6998291015625,28.152238845825195,394.3378601074219
2023-05-03,164.9068603515625,103.6500015258789,65.9959716796875,189.11000061035156,126.42701721191406,296.71539306640625,27.745073318481445,391.6311340332031
2023-05-04,163.27206420898438,104.0,65.90696716308594,190.44000244140625,124.69766998291016,297.6998291015625,27.505565643310547,388.85723876953125
2023-05-05,170.93389892578125,105.66000366210938,65.6667251586914,187.4600067138672,127.1336441040039,302.80755615234375,28.621274948120117,396.0559387207031
2023-05-08,170.86495971679688,105.83000183105469,65.35529327392578,187.69000244140625,127.4404296875,300.8580017089844,29.091310501098633,396.1615295410156
2023-05-09,169.1612091064453,106.62000274658203,65.28413391113281,189.02000427246094,126.82682037353516,299.24969482421875,28.512500762939453,394.4241943359375
2023-05-10,170.92405700683594,110.19000244140625,65.68451690673828,188.75,126.891845703125,304.4255676269531,28.82585906982422,396.26708984375
2023-05-11,171.1111297607422,112.18000030517578,65.8980712890625,187.1300048828125,126.4920883178711,302.28118896484375,28.51948356628418,395.5760498046875
2023-05-12,170.18414306640625,110.26000213623047,65.55105590820312,186.80999755859375,124.67908477783203,301.1699523925781,28.281970977783203,395.0577697753906
2023-05-15,169.69107055664062,111.19999694824219,65.38202667236328,187.2100067138672,125.72969055175781,301.6475830078125,28.89371681213379,396.4206848144531
2023-05-16,169.69107055664062,113.4000015258789,65.2218246459961,184.8699951171875,124.88362884521484,303.87005615234375,29.153181076049805,393.7716064453125
2023-05-17,170.30250549316406,115.5,65.10614013671875,184.22999572753906,128.72349548339844,306.7420959472656,30.116209030151367,398.5515441894531
2023-05-18,172.62985229492188,118.1500015258789,64.8392105102539,181.83999633789062,129.69972229003906,311.1576232910156,31.613134384155273,402.3908996582031
2023-05-19,172.7383270263672,116.25,64.6612319946289,183.63999938964844,129.40220642089844,310.9817199707031,31.19998550415039,401.8053283691406
2023-05-22,171.79161071777344,115.01000213623047,64.64346313476562,183.2100067138672,128.33299255371094,313.7561340332031,31.112167358398438,401.96856689453125
2023-05-23,169.1881103515625,114.98999786376953,64.68791961669922,183.42999267578125,126.99414825439453,307.9729919433594,30.625167846679688,397.45733642578125
2023-05-24,169.46421813964844,116.75,64.51000213623047,181.9499969482422,125.83197784423828,306.59552001953125,30.47547149658203,394.57781982421875
2023-05-25,170.59837341308594,115.0,64.26973724365234,180.1999969482422,126.13876342773438,318.3866271972656,37.90224075317383,397.99481201171875
2023-05-26,173.0045928955078,120.11000061035156,64.3498306274414,180.9199981689453,127.31957244873047,325.1954345703125,38.86625289916992,403.1491394042969
2023-05-30,174.84878540039062,121.66000366210938,64.77693176269531,182.0399932861328,127.80303955078125,323.5542907714844,40.028873443603516,403.302734375
2023-05-31,174.79945373535156,120.58000183105469,64.99047088623047,182.32000732421875,126.17597198486328,320.7994384765625,37.756534576416016,401.0663146972656
2023-06-01,177.60015869140625,122.7699966430664,65.16622161865234,183.75999450683594,127.91459655761719,324.892578125,39.68856430053711,404.8768005371094
2023-06-02,178.44830322265625,124.25,64.80046844482422,181.0500030517578,130.60159301757812,327.6474609375,39.2464714050293,410.7318115234375
2023-06-05,177.09722900390625,125.30000305175781,64.80938720703125,182.13999938964844,129.31854248046875,328.1749572753906,39.090789794921875,409.9447021484375
